HeatGui Version 2.4 (idle, TP, (double)pos) 
Filename:	A1 Group 6.asc
path:	D:\Patricka\DSRP 2.0\Founders\A1\LEARNING\A1 Group 6.asc
ExpType:	0	Std. Exp (0=Std, 1=tempAssay, 2=psycho, 3=idle)
LowPass:	1.500000	Hz
yoked Exp:	0
punishArea:	0	(x1=	30	x2=	80	) 
pos_min:	3	pos_max:	128
chamber	PunishSide	used	idle	punishHeat	normalHeat	stdHeat	Heat on sigle side	yoked Master	yoked Slave
1	0	1	0	41	24	24	0	0	1
2	0	1	0	41	24	24	0	0	1
3	0	1	0	41	24	24	0	0	1
4	0	1	0	41	24	24	0	0	1
5	0	1	0	41	24	24	0	0	1
6	0	1	0	41	24	24	0	0	1
7	0	1	0	41	24	24	0	0	1
8	0	1	0	41	24	24	0	0	1
9	0	1	0	41	24	24	0	0	1
10	0	1	0	41	24	24	0	0	1
11	0	1	0	41	24	24	0	0	1
12	0	1	0	41	24	24	0	0	1
13	0	1	0	41	24	24	0	0	1
14	0	1	0	41	24	24	0	0	1
15	0	1	0	41	24	24	0	0	1
16	0	1	0	41	24	24	0	0	1
time	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	chamber	test	pos	punish	idle	target Temp A	actual Temp A	target Temp B	actual Temp B	
0	1	1	126.000000	0	0	24	25.2152	24	23.6535	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	1.000000	0	0	24	26.1552	24	23.5172	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.791	6	1	36.000000	0	0	24	23.6866	24	23.637	7	1	42.000000	0	0	24	23.5955	24	24.3182	8	1	96.000000	0	0	24	24.1204	24	13.9332	9	1	109.000000	0	0	24	23.9121	24	24.1241	10	1	6.000000	0	0	24	24.0177	24	23.8593	11	1	3.000000	0	0	24	24.1222	24	24.1053	12	1	114.000000	0	0	24	23.9289	24	23.9824	13	1	116.000000	0	0	24	24.3936	24	23.7407	14	1	127.000000	0	0	24	23.9648	24	23.9651	15	1	32.000000	0	0	24	24.0698	24	24.0173	16	1	1.000000	0	0	24	23.9825	24	23.6624	
1100	1	1	126.000000	0	0	24	23.6748	24	23.5495	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	26.000000	0	0	24	26.1552	24	23.5172	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.5821	6	1	36.000000	0	0	24	23.4776	24	23.7407	7	1	45.000000	0	0	24	23.2789	24	24.2121	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	23.9114	10	1	6.000000	0	0	24	23.8051	24	23.9648	11	1	30.000000	0	0	24	23.808	24	24	12	1	114.000000	0	0	24	23.9289	24	23.9824	13	1	93.000000	0	0	24	24.0856	24	23.637	14	1	127.000000	0	0	24	24.1759	24	23.7556	15	1	32.000000	0	0	24	23.8603	24	23.9134	16	1	7.000000	0	0	24	23.9825	24	23.5558	
1200	1	1	126.000000	0	0	24	23.7775	24	23.6535	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	31.000000	0	0	24	26.1552	24	23.4138	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.791	6	1	36.000000	0	0	24	23.1642	24	23.637	7	1	45.000000	0	0	24	23.5955	24	24	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	110.000000	0	0	24	23.701	24	24.0177	10	1	6.000000	0	0	24	23.9114	24	23.8593	11	1	30.000000	0	0	24	24.1222	24	23.8947	12	1	114.000000	0	0	24	23.6091	24	24.0882	13	1	90.000000	0	0	24	23.9829	24	23.5333	14	1	127.000000	0	0	24	24.1759	24	23.8603	15	1	31.000000	0	0	24	23.7556	24	24.0173	16	1	10.000000	0	0	24	23.9825	24	23.4492	
1300	1	1	126.000000	0	0	24	23.6748	24	23.6535	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	34.000000	0	0	24	26.1552	24	23.4138	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.6866	6	1	36.000000	0	0	24	23.4776	24	23.7407	7	1	49.000000	0	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	24.1241	10	1	6.000000	0	0	24	23.5924	24	23.7538	11	1	30.000000	0	0	24	23.9127	24	24.1053	12	1	114.000000	0	0	24	23.9289	24	23.9824	13	1	86.000000	0	0	24	24.1883	24	23.7407	14	1	127.000000	0	0	24	24.1759	24	23.7556	15	1	31.000000	0	0	24	23.8603	24	23.8094	16	1	13.000000	0	0	24	23.8775	24	23.6624	
1400	1	1	126.000000	0	0	24	23.8802	24	23.5495	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	36.000000	0	0	24	26.1552	24	23.4138	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.791	6	1	36.000000	0	0	24	23.3731	24	23.7407	7	1	53.000000	0	0	24	23.4899	24	24.1061	8	1	96.000000	0	0	24	24.1204	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	24.0177	10	1	6.000000	0	0	24	23.8051	24	23.8593	11	1	30.000000	0	0	24	23.9127	24	24.2105	12	1	114.000000	0	0	24	23.8223	24	23.8766	13	1	82.000000	0	0	24	24.1883	24	23.637	14	1	127.000000	0	0	24	24.3869	24	23.8603	15	1	31.000000	0	0	24	23.6509	24	23.9134	16	1	17.000000	0	0	24	23.6675	24	23.4492	
1500	1	1	126.000000	0	0	24	23.8802	24	23.5495	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	41.000000	0	0	24	26.1552	24	23.5172	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.791	6	1	35.000000	0	0	24	23.3731	24	23.7407	7	1	53.000000	0	0	24	23.5955	24	24	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.8065	24	23.9114	10	1	6.000000	0	0	24	23.9114	24	23.8593	11	1	30.000000	0	0	24	24.0175	24	23.8947	12	1	114.000000	0	0	24	23.8223	24	23.9824	13	1	78.000000	0	0	24	24.1883	24	23.637	14	1	127.000000	0	0	24	24.1759	24	23.8603	15	1	31.000000	0	0	24	23.7556	24	23.9134	16	1	21.000000	0	0	24	23.9825	24	23.5558	
1600	1	1	126.000000	0	0	24	23.5721	24	23.7574	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	43.000000	0	0	24	26.1552	24	23.3103	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.5821	6	1	35.000000	0	0	24	23.6866	24	23.7407	7	1	54.000000	0	0	24	23.4899	24	24	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	110.000000	0	0	24	24.1231	24	23.9114	10	1	6.000000	0	0	24	23.6987	24	23.9648	11	1	30.000000	0	0	24	24.0175	24	23.8947	12	1	114.000000	0	0	24	24.1421	24	24.194	13	1	76.000000	0	0	24	24.1883	24	23.637	14	1	127.000000	0	0	24	24.0704	24	23.7556	15	1	31.000000	0	0	24	23.9651	24	24.0173	16	1	24.000000	0	0	24	23.8775	24	23.5558	
1700	1	1	126.000000	0	0	24	23.6748	24	23.7574	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	46.000000	0	0	24	26.1552	24	23.3103	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.4776	6	1	35.000000	0	0	24	23.5821	24	23.637	7	1	56.000000	0	0	24	23.4899	24	24.2121	8	1	96.000000	0	0	24	23.8108	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	23.8051	10	1	6.000000	0	0	24	23.8051	24	23.8593	11	1	30.000000	0	0	24	23.9127	24	24	12	1	114.000000	0	0	24	23.9289	24	23.8766	13	1	75.000000	0	0	24	24.1883	24	23.5333	14	1	127.000000	0	0	24	23.9648	24	23.9651	15	1	31.000000	0	0	24	23.7556	24	23.9134	16	1	26.000000	0	0	24	24.0875	24	23.4492	
1800	1	1	126.000000	0	0	24	23.6748	24	23.7574	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	51.000000	0	0	24	26.1552	24	23.4138	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.3731	6	1	35.000000	0	0	24	23.4776	24	23.7407	7	1	58.000000	0	0	24	23.4899	24	24.2121	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	23.9114	10	1	6.000000	0	0	24	23.8051	24	23.8593	11	1	30.000000	0	0	24	24.0175	24	23.8947	12	1	114.000000	0	0	24	23.9289	24	24.0882	13	1	72.000000	0	0	24	24.1883	24	23.7407	14	1	127.000000	0	0	24	23.9648	24	23.7556	15	1	32.000000	0	0	24	23.7556	24	23.8094	16	1	29.000000	0	0	24	24.1925	24	23.6624	
1900	1	1	126.000000	0	0	24	23.7775	24	23.9653	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	53.000000	0	0	24	26.1552	24	23.3103	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.6866	6	1	34.000000	0	0	24	23.5821	24	23.637	7	1	59.000000	0	0	24	23.4899	24	24.2121	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	23.8051	10	1	6.000000	0	0	24	24.0177	24	23.8593	11	1	30.000000	0	0	24	23.9127	24	24	12	1	114.000000	0	0	24	23.9289	24	23.8766	13	1	70.000000	0	0	24	24.1883	24	23.8444	14	1	127.000000	0	0	24	23.8593	24	23.9651	15	1	31.000000	0	0	24	23.9651	24	23.8094	16	1	33.000000	0	0	24	23.9825	24	23.4492	
2000	1	1	126.000000	0	0	24	23.8802	24	23.7574	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	58.000000	0	0	24	26.1552	24	23.4138	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.5821	6	1	34.000000	0	0	24	23.4776	24	23.7407	7	1	59.000000	0	0	24	23.2789	24	24.2121	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	23.8051	10	1	6.000000	0	0	24	23.8051	24	23.9648	11	1	30.000000	0	0	24	23.808	24	23.8947	12	1	114.000000	0	0	24	23.9289	24	23.9824	13	1	66.000000	0	0	24	24.1883	24	23.8444	14	1	127.000000	0	0	24	24.1759	24	23.9651	15	1	32.000000	0	0	24	23.6509	24	23.8094	16	1	36.000000	0	0	24	24.0875	24	23.6624	
2100	1	1	126.000000	0	0	24	23.7775	24	23.5495	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	64.000000	0	0	24	26.1552	24	23.4138	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.3731	6	1	32.000000	0	0	24	23.4776	24	23.7407	7	1	59.000000	0	0	24	23.4899	24	24.3182	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	24.0177	10	1	6.000000	0	0	24	24.1241	24	23.9648	11	1	30.000000	0	0	24	24.0175	24	24	12	1	114.000000	0	0	24	23.9289	24	24.0882	13	1	66.000000	0	0	24	24.1883	24	23.7407	14	1	127.000000	0	0	24	24.1759	24	23.8603	15	1	31.000000	0	0	24	23.9651	24	24.0173	16	1	40.000000	0	0	24	23.9825	24	23.4492	
2200	1	1	126.000000	0	0	24	23.7775	24	23.6535	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	70.000000	0	0	24	26.1552	24	23.3103	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.6866	6	1	31.000000	0	0	24	23.5821	24	23.637	7	1	59.000000	0	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	23.914	24	13.9332	9	1	110.000000	0	0	24	23.9121	24	24.0177	10	1	6.000000	0	0	24	23.9114	24	23.9648	11	1	30.000000	0	0	24	23.9127	24	24	12	1	114.000000	0	0	24	23.8223	24	23.8766	13	1	66.000000	0	0	24	24.3936	24	23.637	14	1	127.000000	0	0	24	24.0704	24	24.0698	15	1	32.000000	0	0	24	23.6509	24	23.9134	16	1	42.000000	0	0	24	24.0875	24	23.5558	
2300	1	1	126.000000	0	0	24	23.8802	24	23.6535	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	75.000000	0	0	24	26.1552	24	23.5172	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.6866	6	1	29.000000	0	0	24	23.3731	24	23.9481	7	1	62.000000	0	0	24	23.3844	24	24.3182	8	1	96.000000	0	0	24	24.1204	24	13.9332	9	1	110.000000	0	0	24	23.8065	24	24.0177	10	1	6.000000	0	0	24	23.8051	24	23.8593	11	1	30.000000	0	0	24	24.0175	24	24	12	1	114.000000	0	0	24	23.8223	24	24.194	13	1	66.000000	0	0	24	24.1883	24	23.7407	14	1	127.000000	0	0	24	24.1759	24	23.8603	15	1	31.000000	0	0	24	23.8603	24	23.9134	16	1	43.000000	0	0	24	23.9825	24	23.5558	
2400	1	1	126.000000	0	0	24	23.6748	24	23.5495	2	1	45.000000	0	0	24	39.9138	24	39.6985	3	1	77.000000	0	0	24	26.1552	24	23.5172	4	1	55.000000	0	0	24	39.5187	24	39.4069	5	1	2.000000	0	0	24	26.6119	24	23.5821	6	1	28.000000	0	0	24	23.5821	24	23.7407	7	1	64.000000	0	0	24	23.5955	24	24.2121	8	1	96.000000	0	0	24	24.0172	24	13.9332	9	1	110.000000	0	0	24	23.4899	24	24.0177	10	1	6.000000	0	0	24	23.8051	24	23.7538	11	1	30.000000	0	0	24	24.1222	24	24	12	1	114.000000	0	0	24	23.9289	24	24.0882	13	1	66.000000	0	0	24	24.1883	24	23.7407	14	1	127.000000	0	0	24	24.0704	24	23.8603	15	1	31.000000	0	0	24	23.8603	24	23.9134	16	1	46.000000	0	0	24	23.9825	24	23.769	
